cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
26.2022,14288,151,59,3860.1421,27.2622
180.7481,154658,1509,542,23994.6771,272.4525
0.039,341,0,0,0.0,0.0
0.0131,10,0,0,0.0,0.0
0.3635,2083,3,2,51.5584,0.5416
0.953,2261,2,0,0.0,0.361
0.8465,502,3,0,0.0,0.5416
8.2093,17427,159,37,2403.4922,28.7066
43.9118,48847,305,43,3552.283,55.0681
275.3454,304804,7767,2187,113046.5668,1402.2994
24.8181,54447,528,175,8840.9398,95.3277
312.1415,187529,1633,672,31683.7408,294.836
0.0556,422,1,0,0.0,0.1805
0.7412,940,18,3,126.8199,3.2498
0.1325,314,1,0,0.0,0.1805
0.3519,1580,3,0,0.0,0.5416
1.8911,5354,12,1,13.3345,2.1665
14.406,16728,436,40,1973.808,78.7176
1.7273,3892,43,8,424.1517,7.7634
9.845,15017,118,24,1376.4896,21.3053
0.0165,6,0,0,0.0,0.0
45.4333,41896,277,102,4162.0391,50.0109
46.7762,70071,1325,361,14883.7289,239.2221
2.8429,5132,26,13,971.9768,4.6941
275.17,235317,1844,896,77490.5358,332.9273
0.0008,1,0,0,0.0,0.0
0.1294,424,3,0,0.0,0.5416
0.1213,216,5,0,0.0,0.9027
0.0077,12,0,0,0.0,0.0
0.4702,2745,6,0,0.0,1.0832
0.002,1,0,0,0.0,0.0
2.9404,4324,22,2,58.5481,3.9719
1.9555,3171,99,10,88.1188,17.8739
0.1307,230,1,1,150.8711,0.1805
11.9484,23404,142,14,520.8722,25.6373
0.5295,1076,4,0,0.0,0.7221
0.1354,350,0,0,0.0,0.0
0.0057,9,0,0,0.0,0.0
0.0004,5,0,0,0.0,0.0
0.0016,26,0,0,0.0,0.0
0.0349,86,0,0,0.0,0.0
0.0104,27,0,0,0.0,0.0
0.0785,372,0,0,0.0,0.0
110.5201,45327,889,453,19132.9713,160.5044
0.1191,375,5,0,0.0,0.9027
3.9015,3669,48,5,144.5778,8.6661
7.9513,4491,49,30,576.9186,8.8467
12.9019,16534,135,99,2985.5434,24.3735
0.1868,274,1,0,0.0,0.1805
22.8296,16974,146,51,2221.0902,26.3595
0.0069,39,1,0,0.0,0.1805
0.0105,21,1,0,0.0,0.1805
0.021,155,0,0,0.0,0.0
0.3983,418,9,0,0.0,1.6249
0.6479,995,5,0,0.0,0.9027
0.0207,29,0,0,0.0,0.0
0.7487,1494,16,1,241.2338,2.8887
0.0176,13,0,0,0.0,0.0
76.9999,68761,442,130,7581.738,79.8017
266.9145,206356,2910,1064,47941.3027,525.3868
10.2019,23526,176,82,1995.7442,31.7759
339.7693,362969,2384,912,44394.7214,430.4202
0.122,637,1,0,0.0,0.1805
0.3279,276,4,1,218.2788,0.7221
0.0422,108,0,0,0.0,0.0
0.6476,4194,9,4,230.4656,1.6249
3.4406,6857,27,6,167.133,4.8747
10.9614,9083,116,18,693.3314,20.9432
0.8353,1972,22,2,125.6464,3.9719
17.6408,39528,218,42,1589.2214,39.3588
0.0038,4,0,0,0.0,0.0
0.4525,6347,19,0,0.0,0.735
0.1353,99,5,0,0.0,0.1934
6.4353,54552,425,0,0.0,16.4424
0.0007,1,0,0,0.0,0.0
4.472,20551,225,3,134.3125,8.7048
3.5077,2372,42,0,0.0,1.6249
44.2336,189214,4033,22,1214.7213,156.0297
1.3907,11237,47,0,0.0,1.8185
13.8797,18523,431,4,189.1079,16.6746
1.6288,3967,55,1,37.8933,2.1288
4.4069,40040,221,3,518.4353,8.5503
12.8383,55529,809,4,277.7942,31.2987
138.1988,166072,8098,128,12831.1765,313.3002
12.0469,28532,668,8,547.2576,25.8437
47.6149,172704,2199,21,1179.8776,85.0746
0.0008,1,0,0,0.0,0.0
1.4426,11302,62,0,0.0,2.3986
3.0733,5093,111,1,236.4494,4.2943
0.0237,44,0,0,0.0,0.0
6.8814,73880,400,2,172.0206,15.4752
0.0135,8,0,0,0.0,0.0
12.8919,36384,424,8,671.5113,16.4038
24.1564,39240,1663,12,1950.9304,64.3384
0.5741,1033,7,2,124.0086,0.2708
56.5878,248532,2876,36,1878.5456,111.2696
0.0319,444,2,0,0.0,0.0773
0.0007,2,0,0,0.0,0.0
0.0303,712,2,0,0.0,0.0773
0.174,1242,8,0,0.0,0.3095
0.0355,92,0,0,0.0,0.0
0.007,11,0,0,0.0,0.0
0.2532,2585,30,0,0.0,1.1606
2.5313,13697,300,3,279.6255,11.6064
20.2326,45561,1991,29,1374.6566,77.0282
0.0748,446,3,0,0.0,0.116
0.1769,272,4,0,0.0,0.1547
0.018,26,1,0,0.0,0.0386
0.2837,4372,40,0,0.0,1.5475
1.3351,3268,52,0,0.0,2.0117
4.1819,5673,86,1,16.7004,3.3271
0.2131,307,3,0,0.0,0.116
3.4554,18579,199,5,327.6117,7.6989
1.8648,12623,83,0,0.0,3.2111
3.2628,3252,56,0,0.0,2.1665
0.4937,1101,21,1,73.946,0.8124
7.1139,97508,639,4,455.2184,24.7217
0.0045,3,0,0,0.0,0.0
17.8118,59161,733,13,836.4004,28.3584
57.6423,53181,1275,51,4480.7984,49.3276
4.6824,10428,182,3,89.1505,7.0412
62.9539,345652,5001,92,5268.1471,193.4801
0.0,1,0,0,0.0,0.0
0.005,16,0,0,0.0,0.0
0.484,2087,4,0,0.0,0.2063
0.0305,24,0,0,0.0,0.0
4.5295,20878,59,1,150.6132,3.0434
0.5722,10818,28,0,0.0,1.4443
0.0477,35,0,0,0.0,0.0
2.1724,41904,128,0,0.0,6.6027
0.0025,3,0,0,0.0,0.0
1.2937,15075,45,0,0.0,2.3212
0.0655,52,0,0,0.0,0.0
8.9646,87612,423,2,78.9755,21.8201
1.3503,6106,7,0,0.0,0.361
5.8918,7386,70,7,1798.2409,3.6108
2.4656,5732,23,1,15.7847,1.1864
7.2244,23775,46,7,795.1716,2.3728
0.6932,7880,20,0,0.0,1.0316
2.2091,3527,20,0,0.0,1.0316
0.3028,750,12,0,0.0,0.619
0.6779,25367,24,0,0.0,1.238
2.5777,22544,106,1,43.816,5.4673
11.4173,16101,268,3,816.7081,13.8245
2.5462,6042,57,1,47.1738,2.9403
3.7999,57613,190,1,257.6892,9.801
0.006,2,0,0,0.0,0.0
1.536,4660,17,1,122.4997,0.8769
0.8523,1428,21,1,50.1915,1.0832
0.1142,190,0,0,0.0,0.0
7.7584,29493,109,8,364.2366,5.6226
0.005,2,0,0,0.0,0.0
1.0693,14942,57,0,0.0,2.9403
0.5262,1004,16,0,0.0,0.8253
0.0002,1,0,0,0.0,0.0
2.1283,60076,116,1,67.7043,5.9837
0.002,2,0,0,0.0,0.0
3.2141,24063,155,0,0.0,7.9955
1.7313,3215,100,6,404.5884,5.1584
0.0146,36,1,0,0.0,0.0515
8.1166,111305,394,1,18.3897,20.3242
0.0195,131,0,0,0.0,0.0
0.0011,3,0,0,0.0,0.0
0.0199,309,0,0,0.0,0.0
0.0145,410,1,0,0.0,0.0515
0.0011,3,0,0,0.0,0.0
0.0026,245,0,0,0.0,0.0
0.0409,603,2,0,0.0,0.1031
0.0023,6,0,0,0.0,0.0
0.0128,687,0,0,0.0,0.0
2.9994,6774,60,4,1872.3933,3.095
0.7727,10622,69,0,0.0,3.5593
2.9882,22101,260,0,0.0,13.4119
0.1343,381,1,1,47.1867,0.0515
0.0807,139,1,0,0.0,0.0515
0.022,37,0,0,0.0,0.0
0.3542,1812,2,0,0.0,0.1031
0.0384,365,2,0,0.0,0.1031
0.0224,34,0,0,0.0,0.0
0.0011,2,0,0,0.0,0.0
0.0559,2929,7,0,0.0,0.361
0.2978,2123,8,0,0.0,0.4126
0.108,134,0,0,0.0,0.0
0.0418,77,0,0,0.0,0.0
0.2777,7066,8,0,0.0,0.4126
0.0029,2,0,0,0.0,0.0
1.9523,7195,19,7,496.1247,0.9801
1.2833,1282,13,1,19.7696,0.6705
0.7641,1732,5,0,0.0,0.2579
7.0117,33656,81,4,120.5266,4.1783
1.5838,14646,53,0,0.0,2.7339
0.4663,484,2,0,0.0,0.1031
0.0437,126,1,0,0.0,0.0515
2.8693,84823,257,0,0.0,13.2571
0.0045,3,0,0,0.0,0.0
4.4763,32835,202,1,92.9548,10.42
1.7225,2012,19,1,300.7363,0.9801
0.6901,1783,17,0,0.0,0.8769
10.3721,167883,622,2,116.4644,32.0854
0.0007,4,0,0,0.0,0.0
0.0005,11,0,0,0.0,0.0
0.0001,1,0,0,0.0,0.0
0.0074,6,0,0,0.0,0.0
23.7138,17827,175,22,1201.0775,31.6025
29.1636,16053,151,51,2611.986,27.2643
205.8287,172430,1573,732,29422.6545,284.0246
0.0007,1,0,0,0.0,0.0
0.0548,334,0,0,0.0,0.0
0.0397,24,0,0,0.0,0.0
0.3741,2095,5,0,0.0,0.9027
1.1582,2163,5,0,0.0,0.9027
1.081,655,3,0,0.0,0.5416
8.4902,19820,142,12,993.1305,25.6414
49.3065,53913,342,99,5344.1679,61.7566
312.8761,333623,8761,2733,131937.9849,1581.9103
29.3397,62618,657,221,11749.0646,118.6262
368.1842,212061,1887,634,28092.8276,340.7221
0.0675,514,4,0,0.0,0.7221
0.977,1185,25,1,95.4309,4.5136
0.1515,334,4,2,992.3784,0.7221
0.335,1611,4,0,0.0,0.7221
2.1649,5453,13,1,15.8303,2.3481
18.0738,20019,516,79,4559.3101,93.1745
2.0907,4542,34,2,321.873,6.1385
11.3903,16844,95,18,958.9188,17.1527
0.011,7,0,0,0.0,0.0
48.5126,42481,203,149,8534.6273,36.6578
49.3001,74006,1434,436,20309.1481,258.9199
2.8086,5102,31,9,365.735,5.5979
316.6436,261339,2066,937,51768.126,373.0398
0.1194,431,1,1,63.9516,0.1805
0.1217,212,9,0,0.0,1.6249
0.0011,2,0,0,0.0,0.0
3.5218,4525,18,5,567.6721,3.2498
2.524,4083,94,6,291.8944,16.9722
0.1709,288,3,0,0.0,0.5416
14.0987,27107,125,21,1444.4008,22.5701
0.8165,1416,7,1,284.5517,1.2638
0.1625,420,2,0,0.0,0.361
0.0127,20,0,0,0.0,0.0
0.0024,25,0,0,0.0,0.0
0.0002,15,0,0,0.0,0.0
0.0351,103,0,0,0.0,0.0
0.0034,9,0,0,0.0,0.0
0.0468,279,0,0,0.0,0.0
124.9583,48940,1027,507,22253.6558,185.4371
0.1044,361,8,0,0.0,1.4443
4.2848,4116,103,17,1035.7994,18.5961
9.994,4979,55,17,917.4051,9.9309
14.4412,17957,154,57,3320.1255,27.8049
0.1408,205,8,0,0.0,1.4443
27.2151,18365,167,59,3982.5388,30.153
0.0069,33,0,0,0.0,0.0
0.0314,48,0,0,0.0,0.0
0.0011,2,0,0,0.0,0.0
0.0192,203,0,0,0.0,0.0
0.4639,611,5,0,0.0,0.9027
0.8553,1232,10,4,200.4823,1.8054
0.0225,34,0,0,0.0,0.0
0.7424,1943,8,7,395.948,1.4443
0.0197,13,0,0,0.0,0.0
90.0158,72625,500,120,7347.3762,90.2885
307.3453,236270,3291,1267,55019.7363,594.2538
12.3166,27144,249,120,6059.9945,44.9587
372.3133,392763,2500,1137,70543.0369,451.4089
0.0006,1,0,0,0.0,0.0
0.1459,730,2,0,0.0,0.361
0.4687,398,4,0,0.0,0.7221
0.057,118,0,0,0.0,0.0
0.6614,4288,15,0,0.0,2.7081
4.4345,7158,36,5,240.2022,6.4996
14.3316,11779,161,19,1858.2109,29.0708
1.0041,2260,16,0,0.0,2.8887
18.7414,42421,235,23,2601.384,42.4352
0.0929,10,2,0,0.0,0.361
0.0006,1,0,0,0.0,0.0
0.7137,7662,42,3,323.2916,1.6249
0.271,207,1,0,0.0,0.0386
9.6791,78978,456,3,91.7449,17.6422
0.0042,5,0,0,0.0,0.0
5.2407,22953,219,0,0.0,8.4733
5.4987,3652,112,2,104.4042,4.3335
64.4121,257764,4884,34,4299.6099,188.9615
2.1009,15585,69,0,0.0,2.6697
21.9056,27470,645,15,758.6647,24.9569
2.538,5962,69,0,0.0,2.6699
7.3234,60974,284,5,95.9673,10.9883
17.447,74984,976,17,1092.7151,37.7625
195.3052,222625,10721,185,15447.893,414.815
17.6279,40330,950,20,1500.6223,36.7546
73.8687,242913,3040,35,2826.908,117.6196
2.045,13041,84,0,0.0,3.2498
4.6563,7598,162,0,0.0,6.2696
0.0483,83,1,0,0.0,0.0386
10.2464,96244,491,3,223.6411,18.9967
0.0076,5,0,0,0.0,0.0
16.831,42391,470,14,928.0248,18.1854
32.9236,52502,2139,20,994.9486,82.7587
0.7347,1288,12,5,513.4441,0.4642
79.7769,314843,3664,56,4239.0336,141.7611
0.0486,479,1,0,0.0,0.0386
0.0019,5,0,0,0.0,0.0
0.0369,1034,1,0,0.0,0.0386
0.329,1777,9,0,0.0,0.3484
0.0564,146,2,0,0.0,0.0773
0.0121,19,0,0,0.0,0.0
0.3952,3812,35,1,42.5054,1.354
3.7959,17622,312,1,46.1171,12.0709
28.5111,56328,2315,33,2125.8539,89.5676
0.1713,800,4,0,0.0,0.1547
0.3465,507,0,0,0.0,0.0
0.0246,35,1,0,0.0,0.0386
0.4625,6566,32,0,0.0,1.238
2.1853,4906,63,2,220.0783,2.4375
5.6953,7209,107,3,531.1423,4.14
0.2248,338,21,0,0.0,0.8124
4.983,24897,325,3,249.8357,12.5743
2.7389,16590,104,1,30.2849,4.0242
6.1121,5902,103,2,94.776,3.9855
0.8959,1960,31,0,0.0,1.2002
9.3858,120254,660,7,360.7537,25.5359
0.0056,7,0,0,0.0,0.0
24.6846,74171,884,14,1201.1733,34.2027
86.0796,77402,1775,50,3334.1989,68.6794
7.2697,15366,282,5,482.0716,10.9124
85.426,432697,5634,72,4437.7681,217.9851
0.0006,6,0,0,0.0,0.0
0.0027,11,0,0,0.0,0.0
0.0007,1,0,0,0.0,0.0
0.5039,2126,2,2,107.0244,0.1031
0.0314,22,0,0,0.0,0.0
4.5165,21278,54,5,417.451,2.7858
0.5635,10225,21,0,0.0,1.0826
0.0374,35,0,0,0.0,0.0
2.0779,42716,121,1,78.5407,6.2419
1.2489,14635,30,1,29.1506,1.5478
0.0869,59,0,0,0.0,0.0
8.6151,88948,397,1,80.4338,20.4792
1.528,6855,14,5,140.4639,0.7221
6.474,7735,69,6,793.367,3.5596
2.9007,6503,32,2,194.8993,1.6524
7.3901,24627,41,12,292.4957,2.1149
0.7301,9104,24,0,0.0,1.238
2.0467,3086,26,0,0.0,1.3411
0.4156,899,18,0,0.0,0.9285
0.6212,25613,21,0,0.0,1.0832
2.6849,24637,109,2,51.8638,5.625
10.9602,14292,253,5,361.2609,13.0514
3.1124,6762,129,1,34.3482,6.6555
3.5204,57513,170,0,0.0,8.7696
0.0008,1,0,0,0.0,0.0
1.5234,4550,10,0,0.0,0.5164
0.8756,1463,16,1,176.4182,0.8253
0.1235,201,3,0,0.0,0.1547
7.9791,30303,102,10,506.4673,5.2615
0.002,1,0,0,0.0,0.0
1.0537,16597,67,0,0.0,3.4564
0.4929,915,17,0,0.0,0.8769
0.0025,7,0,0,0.0,0.0
2.025,59998,134,0,0.0,6.9128
0.002,1,0,0,0.0,0.0
2.9493,24679,125,1,73.8075,6.4483
1.7903,3309,94,0,0.0,4.8498
0.0277,51,0,0,0.0,0.0
7.8777,109957,465,10,402.2419,23.989
0.0164,136,0,0,0.0,0.0
0.0003,1,0,0,0.0,0.0
0.0179,304,0,0,0.0,0.0
0.0158,300,2,0,0.0,0.1031
0.0003,1,0,0,0.0,0.0
0.0028,292,0,0,0.0,0.0
0.0473,477,2,0,0.0,0.1031
0.0015,4,0,0,0.0,0.0
0.0115,815,1,0,0.0,0.0515
2.946,6705,29,6,825.5617,1.4962
0.7109,9954,52,0,0.0,2.6826
2.7033,20679,237,0,0.0,12.226
0.1471,427,1,0,0.0,0.0515
0.0667,109,2,0,0.0,0.1031
0.0255,40,1,0,0.0,0.0515
0.2834,1743,1,0,0.0,0.0515
0.0433,421,5,0,0.0,0.2579
0.0265,34,0,0,0.0,0.0
0.0018,4,0,0,0.0,0.0
0.0606,3010,11,0,0.0,0.5674
0.3141,2183,15,0,0.0,0.7737
0.1475,161,0,0,0.0,0.0
0.0304,50,0,0,0.0,0.0
0.2671,7046,26,0,0.0,1.3411
0.0006,1,0,0,0.0,0.0
2.2358,7411,15,1,96.6286,0.7759
1.5107,1431,8,2,96.5141,0.4126
0.9123,1931,8,0,0.0,0.4126
7.0464,34007,71,5,670.8406,3.6624
0.0025,2,0,0,0.0,0.0
1.367,12600,60,0,0.0,3.095
0.5247,520,4,0,0.0,0.2063
0.0817,172,9,0,0.0,0.4642
2.7181,83716,201,0,0.0,10.3684
0.0015,1,0,0,0.0,0.0
4.4338,30369,179,1,25.7808,9.2341
1.6039,1796,28,1,46.8901,1.4443
0.9285,2030,20,0,0.0,1.0316
9.7808,164186,517,8,699.7147,26.6705
0.0002,1,0,0,0.0,0.0
0.0001,8,0,0,0.0,0.0
0.0005,9,0,0,0.0,0.0
0.001,1,0,0,0.0,0.0
28.562,19932,150,56,2489.2829,27.2349
33.1326,18096,184,31,1613.5881,33.4086
230.4926,196027,1898,705,30772.9098,344.6154
0.0007,1,0,0,0.0,0.0
0.1075,538,9,0,0.0,1.6341
0.0376,22,0,0,0.0,0.0
0.5289,2693,7,0,0.0,1.2709
0.0007,1,0,0,0.0,0.0
1.2881,2840,18,2,59.9182,3.2682
1.2048,729,8,1,79.3074,1.4525
10.6334,23816,177,19,1056.8666,32.1378
50.6753,57050,359,85,3587.8617,65.1831
400.3253,435128,11545,3004,151674.863,2096.2116
31.9066,64868,689,279,13034.3589,125.0971
465.4819,256517,2610,831,42156.1678,473.8957
0.1088,640,1,0,0.0,0.1815
1.2667,1532,21,0,0.0,3.8129
0.1763,371,3,0,0.0,0.5447
0.5527,2186,1,0,0.0,0.1815
2.4451,6865,33,0,0.0,5.9887
25.9817,29684,838,80,4518.3661,152.1533
2.46,5091,59,16,740.4369,10.7125
16.9098,21131,204,23,2046.7676,37.0401
0.0202,9,0,0,0.0,0.0
52.6045,47856,232,102,2713.9522,42.124
44.1497,65587,1154,370,17055.3795,209.5311
4.1172,7616,48,9,1175.5657,8.7153
376.2671,314239,2358,985,56162.6793,428.1384
0.0017,2,0,0,0.0,0.0
0.1051,407,1,0,0.0,0.1815
0.0866,151,5,0,0.0,0.9078
0.0193,36,0,0,0.0,0.0
0.8923,4211,18,0,0.0,3.2682
0.0068,4,0,0,0.0,0.0
3.3503,5506,20,9,130.4802,3.6312
2.0908,3436,94,9,436.5835,17.0675
0.3624,613,7,0,0.0,1.2709
18.063,34264,202,39,2250.17,36.6705
0.6336,1305,5,0,0.0,0.9078
0.1638,421,3,0,0.0,0.5447
0.0089,14,0,0,0.0,0.0
2.3974,4126,6,3,285.8569,1.0894
0.0008,11,0,0,0.0,0.0
0.0013,17,1,0,0.0,0.1815
0.0456,109,0,0,0.0,0.0
0.007,18,0,0,0.0,0.0
0.0019,3,0,0,0.0,0.0
0.1099,410,0,0,0.0,0.0
141.7886,55639,1133,441,22791.7028,205.7178
0.1573,408,7,0,0.0,1.2709
5.8743,4942,80,8,213.6386,14.5253
11.5423,5852,62,35,1615.4689,11.2572
19.0937,22241,158,34,1216.9947,28.6873
0.3111,458,6,0,0.0,1.0894
34.3716,22327,202,54,2564.416,36.6765
